ID,Mensagem,Classe,promocao,desconto,gratis,premio,oferta,ganhe,urgente,reuniao,projeto,relatorio,equipe,cliente,prazo,agenda,documento,acesso,conta
207,desconto ganhe reuniao reuniao agenda agenda documento,Trabalho,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
208,desconto desconto reuniao projeto projeto projeto cliente cliente conta,Trabalho,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
209,projeto relatorio prazo prazo acesso acesso,Trabalho,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
210,desconto reuniao reuniao reuniao equipe equipe agenda conta,Trabalho,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
211,relatorio relatorio relatorio equipe equipe agenda agenda documento,Trabalho,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
212,reuniao reuniao projeto projeto cliente cliente,Trabalho,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
213,promocao gratis gratis projeto projeto relatorio equipe equipe prazo agenda,Trabalho,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0
214,desconto desconto premio projeto projeto equipe cliente cliente agenda,Trabalho,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0
215,desconto oferta oferta reuniao projeto projeto equipe prazo acesso,Trabalho,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0
216,desconto gratis reuniao reuniao reuniao relatorio relatorio equipe equipe equipe documento,Trabalho,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
217,promocao gratis reuniao projeto relatorio cliente prazo prazo prazo conta conta,Trabalho,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1
218,promocao reuniao relatorio relatorio cliente cliente cliente prazo prazo prazo agenda agenda documento,Trabalho,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0
219,reuniao reuniao projeto projeto relatorio documento acesso,Trabalho,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
220,promocao oferta reuniao reuniao projeto projeto projeto relatorio relatorio equipe equipe cliente,Trabalho,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
221,promocao oferta reuniao projeto prazo prazo agenda acesso,Trabalho,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0
222,gratis oferta reuniao projeto equipe cliente agenda agenda documento,Trabalho,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0
223,projeto projeto projeto prazo documento,Trabalho,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
224,relatorio cliente cliente,Trabalho,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
225,desconto reuniao reuniao projeto relatorio relatorio equipe,Trabalho,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
226,oferta ganhe reuniao reuniao relatorio,Trabalho,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
227,desconto desconto reuniao reuniao reuniao projeto projeto projeto relatorio relatorio cliente prazo prazo acesso conta,Trabalho,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1
228,reuniao projeto projeto relatorio agenda,Trabalho,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
229,reuniao reuniao projeto projeto relatorio relatorio equipe cliente cliente prazo documento documento,Trabalho,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0
230,gratis ganhe reuniao relatorio relatorio equipe cliente prazo prazo agenda conta,Trabalho,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1
231,promocao desconto desconto premio reuniao relatorio equipe cliente,Trabalho,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
232,reuniao reuniao reuniao projeto prazo conta,Trabalho,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
233,premio urgente projeto projeto projeto prazo agenda agenda,Trabalho,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0
234,ganhe reuniao reuniao reuniao projeto relatorio relatorio equipe equipe cliente prazo prazo documento,Trabalho,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0
235,desconto desconto reuniao cliente cliente agenda documento,Trabalho,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
236,urgente urgente reuniao relatorio relatorio equipe equipe cliente prazo agenda acesso,Trabalho,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0
237,reuniao reuniao relatorio cliente cliente,Trabalho,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
238,reuniao projeto equipe equipe prazo prazo prazo documento,Trabalho,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
239,desconto projeto projeto projeto relatorio cliente cliente agenda conta,Trabalho,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1
240,promocao promocao desconto oferta oferta ganhe ganhe reuniao reuniao projeto cliente cliente,Trabalho,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0
241,desconto urgente reuniao projeto projeto relatorio equipe agenda acesso acesso,Trabalho,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0
242,promocao premio projeto projeto relatorio equipe equipe equipe prazo prazo agenda,Trabalho,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0
243,projeto projeto relatorio cliente agenda,Trabalho,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
244,projeto relatorio cliente cliente cliente agenda,Trabalho,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
245,ganhe reuniao projeto relatorio cliente documento,Trabalho,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0
246,promocao desconto ganhe ganhe reuniao relatorio equipe equipe prazo agenda conta,Trabalho,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1
247,ganhe reuniao reuniao equipe equipe cliente agenda documento,Trabalho,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0
248,equipe equipe prazo agenda,Trabalho,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
249,desconto reuniao projeto projeto projeto cliente cliente documento,Trabalho,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
250,premio oferta reuniao reuniao relatorio equipe equipe equipe prazo,Trabalho,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0
251,promocao desconto relatorio relatorio equipe equipe cliente cliente cliente prazo documento,Trabalho,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
252,gratis gratis relatorio equipe equipe prazo,Trabalho,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
253,gratis gratis relatorio equipe equipe cliente cliente conta,Trabalho,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1
254,reuniao cliente cliente prazo documento documento conta,Trabalho,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
255,desconto premio reuniao reuniao projeto documento acesso,Trabalho,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
256,oferta oferta equipe equipe prazo prazo agenda agenda documento acesso conta,Trabalho,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1
257,reuniao reuniao projeto prazo agenda agenda documento,Trabalho,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
258,oferta urgente urgente reuniao reuniao reuniao relatorio equipe cliente prazo prazo agenda acesso conta conta,Trabalho,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1
259,reuniao projeto projeto projeto relatorio relatorio cliente cliente conta conta,Trabalho,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1
260,promocao promocao equipe equipe equipe prazo agenda agenda,Trabalho,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
261,desconto reuniao reuniao projeto equipe equipe prazo,Trabalho,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
262,desconto desconto projeto relatorio relatorio relatorio cliente documento acesso,Trabalho,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0
263,urgente projeto relatorio relatorio relatorio equipe equipe cliente cliente,Trabalho,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
264,desconto gratis gratis reuniao cliente cliente prazo agenda conta,Trabalho,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1
265,urgente relatorio prazo agenda,Trabalho,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
266,reuniao projeto equipe equipe equipe documento acesso,Trabalho,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
267,reuniao equipe equipe cliente cliente cliente prazo prazo agenda,Trabalho,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
268,desconto reuniao projeto relatorio prazo agenda acesso,Trabalho,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0
269,desconto projeto projeto relatorio relatorio relatorio cliente cliente cliente documento documento,Trabalho,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
270,desconto ganhe ganhe urgente reuniao reuniao cliente cliente prazo agenda,Trabalho,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
271,promocao oferta oferta urgente reuniao reuniao cliente cliente prazo prazo documento,Trabalho,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0
272,promocao reuniao reuniao projeto projeto relatorio relatorio cliente cliente cliente agenda documento conta,Trabalho,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1
273,reuniao projeto projeto equipe agenda agenda conta,Trabalho,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
274,ganhe reuniao projeto projeto projeto relatorio equipe prazo prazo agenda,Trabalho,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0
275,gratis gratis reuniao reuniao reuniao projeto relatorio equipe equipe equipe prazo prazo prazo documento,Trabalho,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0
276,gratis premio premio reuniao projeto cliente prazo,Trabalho,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
277,desconto desconto relatorio equipe cliente cliente agenda agenda documento acesso,Trabalho,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
278,premio oferta ganhe ganhe reuniao reuniao projeto relatorio relatorio equipe prazo prazo documento acesso,Trabalho,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0
279,urgente projeto projeto projeto equipe equipe equipe cliente prazo documento,Trabalho,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0
280,oferta oferta urgente reuniao reuniao projeto projeto projeto equipe equipe agenda,Trabalho,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0
281,premio reuniao reuniao relatorio equipe cliente conta,Trabalho,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
282,urgente projeto projeto projeto relatorio relatorio prazo documento documento,Trabalho,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0
283,reuniao relatorio relatorio relatorio cliente agenda agenda,Trabalho,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
284,reuniao reuniao projeto agenda,Trabalho,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
285,promocao oferta reuniao relatorio equipe cliente cliente acesso,Trabalho,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0
286,gratis premio reuniao reuniao reuniao relatorio equipe cliente cliente prazo,Trabalho,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0
287,premio projeto relatorio agenda documento,Trabalho,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0
288,projeto projeto projeto relatorio relatorio relatorio equipe agenda conta,Trabalho,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1
289,urgente reuniao equipe equipe,Trabalho,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
290,desconto oferta ganhe projeto relatorio relatorio cliente agenda acesso,Trabalho,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
291,oferta ganhe ganhe documento acesso,Trabalho,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
292,desconto projeto relatorio relatorio relatorio equipe cliente agenda acesso,Trabalho,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0
293,oferta oferta reuniao cliente prazo prazo agenda acesso acesso,Trabalho,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0
294,oferta projeto projeto relatorio relatorio cliente prazo prazo documento,Trabalho,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0
295,desconto desconto oferta oferta reuniao relatorio prazo documento conta,Trabalho,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1
296,reuniao reuniao projeto relatorio cliente prazo prazo prazo documento,Trabalho,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0
297,urgente reuniao reuniao reuniao projeto projeto projeto equipe cliente cliente prazo acesso,Trabalho,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0
298,reuniao relatorio relatorio equipe equipe equipe prazo,Trabalho,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
299,urgente urgente reuniao projeto relatorio equipe prazo,Trabalho,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
300,urgente relatorio relatorio prazo prazo prazo agenda documento,Trabalho,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0
